market_close_date,company_name,symbol,open,high,low,close,volume,net_change,industry
20180510,Agilent Technologies Inc,A,68.12,68.84,68.12,68.84,5634,0.71,HEALTH SERVICES - Medical Laboratories & Research
20180509,Agilent Technologies Inc,A,67.38,68.41,67.15,68.13,21085,0.76,HEALTH SERVICES - Medical Laboratories & Research
20180508,Agilent Technologies Inc,A,67.08,67.43,66.84,67.37,16900,-0.02,HEALTH SERVICES - Medical Laboratories & Research
20180507,Agilent Technologies Inc,A,67.16,67.98,67.07,67.39,14242,0.39,HEALTH SERVICES - Medical Laboratories & Research
20180504,Agilent Technologies Inc,A,66.03,67.25,65.54,67.00,13310,0.66,HEALTH SERVICES - Medical Laboratories & Research
20180503,Agilent Technologies Inc,A,65.77,66.46,64.86,66.34,22258,0.43,HEALTH SERVICES - Medical Laboratories & Research
20180502,Agilent Technologies Inc,A,66.00,66.86,65.77,65.91,20614,-0.33,HEALTH SERVICES - Medical Laboratories & Research
20180501,Agilent Technologies Inc,A,65.63,66.35,65.49,66.24,31351,0.5,HEALTH SERVICES - Medical Laboratories & Research
20180430,Agilent Technologies Inc,A,66.49,66.66,65.73,65.74,22691,-0.54,HEALTH SERVICES - Medical Laboratories & Research
20180427,Agilent Technologies Inc,A,66.34,66.56,65.96,66.28,11892,-0.09,HEALTH SERVICES - Medical Laboratories & Research
20180426,Agilent Technologies Inc,A,66.22,66.76,65.89,66.37,19786,0.57,HEALTH SERVICES - Medical Laboratories & Research
20180425,Agilent Technologies Inc,A,66.87,67.08,64.91,65.80,38020,-0.84,HEALTH SERVICES - Medical Laboratories & Research
20180424,Agilent Technologies Inc,A,66.65,67.90,66.04,66.64,35480,-1.43,HEALTH SERVICES - Medical Laboratories & Research
20180423,Agilent Technologies Inc,A,67.71,68.67,67.53,68.07,22606,0.52,HEALTH SERVICES - Medical Laboratories & Research
20180420,Agilent Technologies Inc,A,67.87,68.26,67.32,67.55,19172,-0.42,HEALTH SERVICES - Medical Laboratories & Research
20180419,Agilent Technologies Inc,A,69.48,69.59,67.36,67.97,24350,-1.58,HEALTH SERVICES - Medical Laboratories & Research
20180418,Agilent Technologies Inc,A,69.11,70.29,68.65,69.55,26783,1.11,HEALTH SERVICES - Medical Laboratories & Research
20180417,Agilent Technologies Inc,A,68.51,68.85,68.07,68.44,26826,0.27,HEALTH SERVICES - Medical Laboratories & Research
20180416,Agilent Technologies Inc,A,67.92,68.37,67.49,68.17,28878,0.96,HEALTH SERVICES - Medical Laboratories & Research
20180413,Agilent Technologies Inc,A,67.50,67.67,66.88,67.21,20147,0.01,HEALTH SERVICES - Medical Laboratories & Research
20180412,Agilent Technologies Inc,A,66.56,67.64,66.45,67.20,21794,1.12,HEALTH SERVICES - Medical Laboratories & Research
20180411,Agilent Technologies Inc,A,65.98,66.60,65.82,66.08,13907,-0.56,HEALTH SERVICES - Medical Laboratories & Research
20180410,Agilent Technologies Inc,A,66.14,66.79,65.90,66.64,19660,1.45,HEALTH SERVICES - Medical Laboratories & Research
20180409,Agilent Technologies Inc,A,65.06,66.25,64.08,65.19,26066,1.54,HEALTH SERVICES - Medical Laboratories & Research
